subject,predicate,object
Corn_flour_masa_harina_white_or_yellow_dry_raw,recommendedFor,Weight_Gain
Egg_whole_dried,recommendedFor,Arrhythmias__Cardiac
Nuts_pine_nuts_raw,recommendedFor,Disease_Progression
Cheese_provolone_sliced,recommendedFor,Dysgeusia
Lentils_dry,recommendedFor,Substance_Withdrawal_Syndrome
Iron,treats,Anemia
Egg_yolk_raw_frozen_pasteurized,recommendedFor,Neoplasms
Egg_yolk_dried,highIn,Zinc
Rice_brown_long_grain_unenriched_raw,recommendedFor,Tachycardia__Ventricular
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Vasospasm__Intracranial
Oil_olive_extra_virgin,contraindicatedFor,Obesity
Egg_yolk_dried,recommendedFor,Pulpitis
Beans_Dry_Tan_0_moisture,recommendedFor,Leukemia
Blackeye_pea_dry,recommendedFor,Anemia__Iron_Deficiency
Nuts_pecans_halves_raw,recommendedFor,Chemical_and_Drug_Induced_Liver_Injury
Beans_Dry_Great_Northern_0_moisture,recommendedFor,Nerve_Compression_Syndromes
Wild_rice_dry_raw,recommendedFor,Cardiomyopathies
Yogurt_Greek_strawberry_nonfat,recommendedFor,Nephrolithiasis
Sausage_pork_chorizo_link_or_ground_cooked_panfried,recommendedFor,Anemia__Iron_Deficiency
Cheese_parmesan_grated_refrigerated,recommendedFor,Esophageal_Neoplasms
Flour_chestnut,recommendedFor,Diabetic_Ketoacidosis
Beans_Dry_Light_Tan_0_moisture,recommendedFor,Acrodermatitis
Beans_Dry_Small_White_0_moisture,recommendedFor,Hepatomegaly
Seeds_sunflower_seed_kernel_raw,recommendedFor,Kidney_Diseases
Cheese_monterey_jack_solid,recommendedFor,Hypertension
Flour_potato,recommendedFor,Long_QT_Syndrome
Flour_almond,highIn,Calcium
Beef_ribeye_steak_boneless_choice_raw,recommendedFor,Cardiotoxicity
Flour_chestnut,recommendedFor,Seizures
Blackeye_pea_dry,recommendedFor,Glioma
Bread_wholewheat_commercially_prepared,recommendedFor,Peptic_Ulcer
Cheese_swiss,recommendedFor,Nerve_Compression_Syndromes
Cheese_pasteurized_process_cheese_food_or_product_American_singles,recommendedFor,Kidney_Diseases
Beans_Dry_Small_Red_0_moisture,recommendedFor,Pain
Cheese_mozzarella_low_moisture_partskim,recommendedFor,Disease_Models__Animal
